工作名称,工作薪资,工作网站,公司名称,公司网站,公司性质,公司地点,公司标签,公司人数,公司待遇,工作年限,招聘日期
高级JAVA开发工程师(J13357),1.5-2.5万/月,https://jobs.51job.com/beijing-hdq/125530054.html?s=01&t=0,北京北大方正电子有限公司,https://jobs.51job.com/all/co293628.html,北京-海淀区,国企,计算机软件,1000-5000人,五险一金 餐饮补贴 年终奖金 周末双休 带薪年假 体检 通讯补贴 补充医疗保险 专业培训,6,2020-09-16 14:52:07
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing/125513151.html?s=01&t=0,武汉佰钧成技术有限责任公司,https://jobs.51job.com/all/co2471571.html,北京,民营公司,计算机软件,10000人以上,五险一金 补充医疗保险 员工旅游 定期体检 带薪年假,5,2020-09-16 14:51:00
Java开发工程师,1.5-2万/月,https://jobs.51job.com/beijing-cyq/125309871.html?s=01&t=0,上海帕科信息科技有限公司,https://jobs.51job.com/all/co2443876.html,北京-朝阳区,民营公司,计算机服务(系统、数据服务、维修),50-150人,五险一金 餐饮补贴 定期体检 补充医疗保险 补充公积金 员工旅游,6,2020-09-16 15:23:13
Java初级开发工程师,1-1.1万/月,https://jobs.51job.com/beijing-hdq/125532295.html?s=01&t=0,东软云科技有限公司,https://jobs.51job.com/all/co3874111.html,北京-海淀区,合资,计算机软件,1000-5000人,五险一金 补充医疗保险,3,2020-09-16 15:20:41
初/中级java开发,6-8千/月,https://jobs.51job.com/beijing-xcq/125532047.html?s=01&t=0,北京奇点财富科技发展有限公司,https://jobs.51job.com/all/co6086328.html,北京-西城区,民营公司,互联网/电子商务,10000人以上,五险一金 餐饮补贴 交通补贴 年终奖金 绩效奖金 出国机会,10,2020-09-16 15:14:09
Java高级开发工程师,15-20万/年,https://jobs.51job.com/beijing-cyq/122786546.html?s=01&t=0,北京九州承平科技有限公司,https://jobs.51job.com/all/co5286562.html,北京-朝阳区,民营公司,计算机软件,少于50人,,5,2020-09-16 15:10:32
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-hdq/124767574.html?s=01&t=0,红板凳科技股份有限公司,https://jobs.51job.com/all/co3788588.html,北京-海淀区,民营公司,计算机软件,50-150人,五险一金 餐饮补贴 周末双休,5,2020-09-16 15:02:12
java后端开发工程师,1.2-2万/月,https://jobs.51job.com/shanghai-ypq/125530307.html?s=01&t=0,亚信科技CMC,https://jobs.51job.com/all/co3972921.html,异地招聘,合资,计算机软件,10000人以上,,5,2020-09-16 14:54:01
Java高级开发工程师,1.5-3万/月,https://jobs.51job.com/beijing/121382639.html?s=01&t=0,北京慧点科技有限公司,https://jobs.51job.com/all/co146207.html,北京,民营公司,计算机软件,500-1000人,五险一金 补充医疗保险 餐饮补贴 年终奖金 绩效奖金 定期体检 弹性工作,6,2020-09-16 14:43:14
Java开发工程师,2-4万/月,https://xz.51job.com/2021/ccbft/?page=1&jobid=125529115,建信金融科技有限责任公司,https://xz.51job.com/2021/ccbft/,北京-海淀区,国企,计算机软件,1000-5000人,,5,2020-09-16 14:40:49
java研发工程师,1.2-2万/月,https://jobs.51job.com/beijing-hdq/125529345.html?s=01&t=0,紫光股份有限公司,https://jobs.51job.com/all/co13145.html,北京-海淀区,上市公司,多元化业务集团公司,10000人以上,,5,2020-09-16 14:40:30
java开发工程师,0.8-1.3万/月,https://jobs.51job.com/beijing-hdq/70776348.html?s=01&t=0,北京路遥科技有限公司,https://jobs.51job.com/all/co3401810.html,北京-海淀区,民营公司,计算机软件,50-150人,员工旅游 股票期权 弹性工作 出国机会 补充医疗保险 补充公积金,5,2020-09-16 14:20:01
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-dcq/120489762.html?s=01&t=0,北京中传承企业文化发展有限公司,https://jobs.51job.com/all/co5387344.html,北京-东城区,民营公司,计算机软件,少于50人,五险一金 绩效奖金 年终奖金 专业培训,5,2020-09-16 14:05:24
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing/125526968.html?s=01&t=0,北京致远互联软件股份有限公司,https://jobs.51job.com/all/co303234.html,北京,上市公司,互联网/电子商务,1000-5000人,五险一金 免费班车 餐饮补贴 通讯补贴 专业培训 定期体检,6,2020-09-16 14:01:12
Java开发工程师,0.8-1万/月,https://jobs.51job.com/shijiazhuang-qxq/125526904.html?s=01&t=0,北京开云牧科科技有限公司,https://jobs.51job.com/all/co6085865.html,异地招聘,民营公司,计算机软件,50-150人,,5,2020-09-16 14:00:52
Java开发工程师,1.2-1.8万/月,https://jobs.51job.com/beijing-hdq/125526457.html?s=01&t=0,北京伟仕佳杰信息技术服务有限公司,https://jobs.51job.com/all/co5749931.html,北京-海淀区,民营公司,计算机服务(系统、数据服务、维修),500-1000人,,5,2020-09-16 13:52:29
Java开发工程师,0.8-1万/月,https://jobs.51job.com/beijing-cyq/107150538.html?s=01&t=0,中科软科技股份有限公司,https://jobs.51job.com/all/co4941694.html,北京-朝阳区,民营公司,计算机软件,5000-10000人,,4,2020-09-16 13:49:33
Java开发工程师（金融方向）,0.5-1.5万/月,https://jobs.51job.com/suzhou-gyyq/125522809.html?s=01&t=0,苏州银丰睿哲信息科技有限公司,https://jobs.51job.com/all/co3488505.html,异地招聘,民营公司,计算机软件,50-150人,五险一金 专业培训 年终奖金,4,2020-09-16 11:53:01
JAVA高级开发工程师,1.2-1.8万/月,https://jobs.51job.com/beijing-cyq/125087078.html?s=01&t=0,上海申石软件有限公司,https://jobs.51job.com/all/co1260307.html,北京-朝阳区,民营公司,计算机软件,50-150人,五险一金 员工旅游 年终奖金,5,2020-09-16 11:48:47
JAVA开发工程师（中级）,0.6-1.5万/月,https://jobs.51job.com/beijing-hdq/125522316.html?s=01&t=0,广州城市信息研究所有限公司,https://jobs.51job.com/all/co10972.html,北京-海淀区,民营公司,计算机软件,500-1000人,五险一金 年终奖金 定期体检 周末双休 带薪年假 带薪病假 节日福利 专业培训,5,2020-09-16 11:43:43
中高级Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-ftq/124218848.html?s=01&t=0,银银科技有限公司,https://jobs.51job.com/all/co5668375.html,北京-丰台区,民营公司,计算机软件,50-150人,五险一金 弹性工作 绩效奖金,5,2020-09-16 11:24:57
JAVA应用研发工程师,,https://jobs.51job.com/beijing/125515132.html?s=01&t=0,网联清算有限公司,https://jobs.51job.com/all/co6064061.html,北京,国企,金融/投资/证券,,,,2020-09-16 11:21:33
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-sjsq/121442873.html?s=01&t=0,石家庄辅良电子科技有限公司,https://jobs.51job.com/all/co2784254.html,北京-石景山区,民营公司,计算机软件,50-150人,周末双休 团队氛围优 五险一金,5,2020-09-16 11:21:05
Java开发工程师（高级）,1.8-2万/月,https://jobs.51job.com/beijing-hdq/119896726.html?s=01&t=0,中海银河科技（北京）有限公司,https://jobs.51job.com/all/co5716064.html,北京-海淀区,国企,互联网/电子商务,50-150人,,6,2020-09-16 11:17:19
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-hdq/89174688.html?s=01&t=0,北京四海盈科信息技术有限公司,https://jobs.51job.com/all/co4286998.html,北京-海淀区,民营公司,计算机软件,少于50人,,5,2020-09-16 10:57:33
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing/125514209.html?s=01&t=0,郑州一迅软件科技有限公司,https://jobs.51job.com/all/co3000647.html,北京,民营公司,计算机软件,50-150人,五险一金 年终奖金,4,2020-09-16 10:52:13
